ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
AMZZ,0,0,,0.0,wordfreq,normal
ANAB,3,0,1.0,1.22,wordfreq,normal
ANDE,0,0,,1.96,wordfreq,normal
ANDG,0,0,,0.0,wordfreq,normal
ANEL,0,0,,1.64,wordfreq,normal
ANET,47,2,0.959,1.97,case_ratio,normal
ANEW,0,8,0.0,3.2,wordfreq,normal
ANGH,0,0,,0.0,wordfreq,normal
ANGHW,0,0,,0.0,wordfreq,normal
ANGI,7,1,0.875,1.61,wordfreq,normal
ANGL,0,0,,1.35,wordfreq,normal
ANGO,9,0,1.0,1.65,wordfreq,normal
ANGX,0,0,,0.0,wordfreq,normal
ANIK,1,0,1.0,1.91,wordfreq,normal
ANIP,5,0,1.0,0.0,wordfreq,normal
ANIX,9,1,0.9,0.0,wordfreq,normal
ANNA,1,8,0.111,4.37,wordfreq,cashtag_only
ANNAW,0,0,,0.0,wordfreq,normal
ANNX,0,0,,0.0,wordfreq,normal
ANPA,0,0,,0.0,wordfreq,normal
ANRO,0,0,,0.0,wordfreq,normal
ANSC,0,0,,0.0,wordfreq,normal
ANSCU,0,0,,0.0,wordfreq,normal
ANSCW,0,0,,0.0,wordfreq,normal
ANTA,0,0,,2.12,wordfreq,normal
ANTX,1,0,1.0,0.0,wordfreq,normal
ANVS,7,0,1.0,0.0,wordfreq,normal
AOCT,0,0,,0.0,wordfreq,normal
AOHY,0,0,,0.0,wordfreq,normal
AOMD,0,0,,0.0,wordfreq,normal
AOMN,0,0,,0.0,wordfreq,normal
AOMR,0,0,,0.0,wordfreq,normal
AORT,0,0,,0.0,wordfreq,normal
AOSL,1,1,0.5,0.0,wordfreq,normal
AOTG,0,0,,0.0,wordfreq,normal
AOTS,0,0,,1.33,wordfreq,normal
AOUT,5,0,1.0,1.7,wordfreq,normal
APAC,22,1,0.957,2.52,wordfreq,normal
APACR,0,0,,0.0,wordfreq,normal
APACU,0,0,,0.0,wordfreq,normal
APAM,4,0,1.0,1.26,wordfreq,normal
APCB,0,0,,0.0,wordfreq,normal
APDB,0,0,,0.0,wordfreq,normal
APEI,0,0,,0.0,wordfreq,normal
APGE,0,0,,0.0,wordfreq,normal
APHG,0,0,,0.0,wordfreq,normal
APHU,0,0,,0.0,wordfreq,normal
APIE,0,0,,0.0,wordfreq,normal
APLD,2,0,1.0,0.0,wordfreq,normal
APLE,1,2,0.333,0.0,wordfreq,normal
APLM,0,0,,0.0,wordfreq,normal
APLMW,0,0,,0.0,wordfreq,normal
APLU,0,0,,0.0,wordfreq,normal
APLX,0,0,,0.0,wordfreq,normal
APLY,0,0,,1.06,wordfreq,normal
APLZ,0,0,,0.0,wordfreq,normal
APMC,0,0,,1.23,wordfreq,normal
APMCR,0,0,,0.0,wordfreq,normal
APMCU,0,0,,0.0,wordfreq,normal
APMU,0,0,,0.0,wordfreq,normal
APOC,0,0,,2.09,wordfreq,normal
APOG,11,5,0.688,0.0,wordfreq,normal
APOS,0,1,0.0,2.51,wordfreq,normal
APPC,12,0,1.0,1.31,wordfreq,normal
APPF,7,0,1.0,0.0,wordfreq,normal
APPN,7,1,0.875,1.13,wordfreq,normal
APPS,34,864,0.038,4.35,case_ratio,cashtag_only
APPX,1,11,0.083,1.97,wordfreq,normal
APRB,0,0,,0.0,wordfreq,normal
APRE,7,0,1.0,1.09,wordfreq,normal
APRH,0,0,,0.0,wordfreq,normal
APRJ,0,0,,0.0,wordfreq,normal
APRN,65,4,0.942,1.44,case_ratio,normal
APRP,0,0,,0.0,wordfreq,normal
APRT,0,0,,1.26,wordfreq,normal
APRW,0,0,,0.0,wordfreq,normal
APRZ,0,0,,0.0,wordfreq,normal
APTV,9,0,1.0,0.0,wordfreq,normal
APUE,0,0,,0.0,wordfreq,normal
APUR,0,0,,0.0,wordfreq,normal
APURR,0,0,,0.0,wordfreq,normal
APUS,0,3,0.0,2.14,wordfreq,normal
APVO,7,0,1.0,0.0,wordfreq,normal
APWC,2,0,1.0,0.0,wordfreq,normal
APXM,0,0,,0.0,wordfreq,normal
APXT,13,1,0.929,0.0,wordfreq,normal
APXTU,0,0,,0.0,wordfreq,normal
APXTW,0,0,,0.0,wordfreq,normal
APYX,1,0,1.0,0.0,wordfreq,normal
AQEC,0,0,,0.0,wordfreq,normal
AQLG,0,0,,0.0,wordfreq,normal
AQLT,0,0,,0.0,wordfreq,normal
AQMS,7,0,1.0,0.0,wordfreq,normal
AQNB,0,0,,0.0,wordfreq,normal
AQST,7,0,1.0,0.0,wordfreq,normal
AQWA,0,0,,0.0,wordfreq,normal
ARAI,0,0,,2.24,wordfreq,normal
ARAY,4,0,1.0,1.47,wordfreq,normal
ARBB,0,0,,0.0,wordfreq,normal
ARBE,0,0,,1.05,wordfreq,normal
ARBEW,0,0,,0.0,wordfreq,normal
ARBK,1,0,1.0,0.0,wordfreq,normal
ARCB,6,0,1.0,0.0,wordfreq,normal
ARCC,19,1,0.95,1.05,wordfreq,normal
ARCI,3,1,0.75,1.43,wordfreq,normal
ARCIU,0,0,,0.0,wordfreq,normal
ARCIW,0,0,,0.0,wordfreq,normal
ARCL,0,0,,0.0,wordfreq,normal
ARCLR,0,0,,0.0,wordfreq,normal
ARCLU,0,0,,0.0,wordfreq,normal
ARCLW,0,0,,0.0,wordfreq,normal
ARCM,0,0,,0.0,wordfreq,normal
ARCO,8,3,0.727,2.56,wordfreq,normal
ARCT,22,0,1.0,1.5,wordfreq,normal
ARCX,0,0,,0.0,wordfreq,normal
ARDC,0,0,,1.33,wordfreq,normal
ARDT,0,0,,0.0,wordfreq,normal
ARDX,7,0,1.0,0.0,wordfreq,normal
AREC,5,1,0.833,1.34,wordfreq,normal
AREN,7,1552,0.004,2.81,case_ratio,cashtag_only
ARES,5,5,0.5,3.09,wordfreq,normal
ARGT,1,0,1.0,0.0,wordfreq,normal
ARGX,5,0,1.0,0.0,wordfreq,normal
ARHS,0,0,,0.0,wordfreq,normal
ARIS,0,0,,2.61,wordfreq,normal
